年月,月營收(千元),年增率(%),月增率(%)
2024/04,97337441,,
2024/05,101298511,,4.07
2024/06,111318180,,9.89
2024/07,124262620,,11.63
2024/08,145176833,,16.83
2024/09,155109787,,6.84
2024/10,135893235,,-12.39
2024/11,141353606,,4.02
2024/12,138415569,,-2.08
2025/01,142560447,,2.99
2025/02,150564741,,5.61
2025/03,192546802,,27.88
2025/04,154010874,58.22,-20.01
2025/05,160242327,58.19,4.05
2025/06,189868451,70.56,18.49
2025/07,158342022,27.43,-16.6
2025/08,152807846,5.26,-3.5
2025/09,184108513,18.7,20.48
2025/10,173195793,27.45,-5.93
2025/11,192946811,36.5,11.4
2025/12,272494820,96.87,41.23
2026/01,230834858,61.92,-15.29
2026/02,215583149,43.18,-6.61
2026/03,362803048,88.42,68.29
